"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-05-02 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2014-05-03 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","48","1","Good"
"2014-05-03 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","29","1","Good"
"2014-05-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","49","1","Good"
"2014-05-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2014-05-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-05-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","20","1","Good"
"2014-05-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","64","2","Moderate"
"2014-05-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","26","1","Good"
"2014-05-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2014-05-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","42","1","Good"
"2014-05-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","74","2","Moderate"
"2014-05-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","56","2","Moderate"
"2014-05-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","77","2","Moderate"
"2014-05-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","68","2","Moderate"
"2014-05-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2014-05-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","27","1","Good"
"2014-05-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","87","2","Moderate"
"2014-05-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","32","1","Good"
"2014-05-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2014-05-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","39","1","Good"
"2014-05-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2014-05-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","26","1","Good"
"2014-05-14 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2014-05-14 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","54","2","Moderate"
"2014-05-15 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","36","1","Good"
"2014-05-15 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","33","1","Good"
"2014-05-16 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2014-05-16 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","30","1","Good"
"2014-05-17 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","45","1","Good"
"2014-05-17 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","45","1","Good"
"2014-05-18 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","50","1","Good"
"2014-05-18 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","42","1","Good"
"2014-05-19 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","77","2","Moderate"
"2014-05-19 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","53","2","Moderate"
"2014-05-20 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","67","2","Moderate"
"2014-05-20 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","54","2","Moderate"
"2014-05-21 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2014-05-21 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","61","2","Moderate"
"2014-05-22 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","71","2","Moderate"
"2014-05-22 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","55","2","Moderate"
"2014-05-23 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2014-05-23 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","35","1","Good"
"2014-05-24 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-05-24 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","40","1","Good"
"2014-05-25 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","50","1","Good"
"2014-05-25 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","41","1","Good"
"2014-05-26 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","77","2","Moderate"
"2014-05-26 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","48","1","Good"
"2014-05-27 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","54","2","Moderate"
"2014-05-27 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","48","1","Good"
"2014-05-28 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
